"nom","type","courte_description","source","condition","avantage","normal","url"
"Lancer de bouclier","[Général, Guerrier]","Le personnage sait donner des coups de bouclier de manière inhabituelle.","Codex Heroïque","[[Dex 13], [Formation au maniement des boucliers]]","Le personnage peut lancer son bouclier sans subir le malus normal de -4 pour une arme improvisée. Le facteur de portée est de 4,50 m.","Utiliser une arme improvisée de jet cause un malus de -4 au jet d'attaque et le facteur de portée est de 3 m.","https://gemmaline.com/dons/dons-lancer-de-bouclier-2329.htm"
"Lancer de rochers","[Général]","Le personnage lance des rochers à la façon des géants.","Races de la Pierre","[[Taille G ou supérieure], [For 19]]","Le personnage peut lancer des rochers pesant entre 20 et 25 kg (des objets de taille P) avec un facteur de portée de 4,50 mètres (jusqu'à un maximum de cinq facteurs). Les rochers infligent 2d6 points de dégâts plus le modificateur de Force.","Sans ce don, on peut lancer des rochers de 20 à 25 kg en tant qu'armes improvisées infligeant 2d6 points de dégâts, avec un facteur de portée de 1,50 mètre. Cela nécessite une action complexe. Le jet d'attaque subit un malus de -4 pour non-formation, qui disparait lorsqu'on possède le don.","https://gemmaline.com/dons/dons-lancer-de-rochers-654.htm"
"Lancer en puissance","[Général, Guerrier]","Le personnage a appris à lancer ses armes de jet avec une puissance dévastatrice.","Codex Aventureux","[[For 13], [Lancer brutal], [Attaque en puissance]]","Pendant son tour de jeu et avant d’effectuer ses jets d’attaque, le personnage peut choisir un nombre, qu’il applique en tant que malus à tous ses jets d’attaque d’armes de jet et en tant que bonus à tous ses jets de dégâts correspondants. La valeur choisie ne peut dépasser son bonus de base à l’attaque. Les modificateurs aux jets d’attaque et aux dégâts s’appliquent jusqu’au prochain tour de jeu du personnage.","","https://gemmaline.com/dons/dons-lancer-en-puissance-366.htm"
"Lancer néraphim","[Général]","Le personnage maîtrise la technique des néraphims des Limbes qui consiste à camoufler ses mouvements lorsqu'on lance une arme de jet.","Le Guide du Voyageur Planaire","[[Degré de maîtrise de 5 en Connaissances (plans)], [Dex 15]]","Le personnage sait lancer les armes de jet de telle manière que son adversaire a l'impression que l'arme ne s'approche pas de lui, ou qu'elle le fait trop lentement pour être dangereuse. Ainsi, la cible d'un lancer néraphim est privée de son (éventuel) bonus de Dextérité à la CA contre l'attaque du personnage, avec toutes les conséquences habituelles (notamment le fait de pouvoir placer une attaque sournoise si le personnage en est capable).
Une fois que le personnage a effectué son lancer néraphim (qu'il ait été couronné de succès ou non), tout recours ultérieur à ce don contre ce même adversaire échouera automatiquement jusqu'à la fin de la rencontre. En effet, dès lors que l'ennemi a été directement visé par cette forme d'attaque, il saura se tenir sur ses gardes et repérer la supercherie jusqu'à la fin du combat.","","https://gemmaline.com/dons/dons-lancer-neraphim-618.htm"
"Lancer violent","[Général, Guerrier]","Le personnage sait prendre pleinement avantage de sa musculature lorsqu'il lance des armes de jets","Dragon Magazine #304","[[For 15], [Lancer en puissance], [Lancer brutal], [Attaque en puissance]]","Le personnage ajoute 1,5 fois sa Force aux jets de dégâts avec des armes de jets. S'il combat à deux armes, ce bonus ne s'applique que si l'arme de jet est dans sa main directrice.","On ajoute le bonus de Force aux jets de dégâts des armes de jets.","https://gemmaline.com/dons/dons-lancer-violent-1700.htm"
"Lanceur de haches","[Régional]","Le personnage est capable de porter un coup mortel quand il lance une arme lourde.","Manuel des Joueurs de Faerûn","[[Boogin[Outreterre (Nord-Terre)], Demi-orque[Mer de Lune], Homme-lézard[Surkh], Humain[Grand glacier], Humain[Iles Moonshae], Humain[Nord], Humain[Vaasie], Nain d'écu[Grand glacier], Nain polaire[Grand glacier], Ogrillon[Mer de Lune], Orogue[Mer de Lune], Orogue[Outreterre (Nord-Terre)], Orque des montagnes[Mer de Lune], Orque des montagnes[Outreterre (Nord-Terre)], Tanarukk[Outreterre (Nord-Terre)]]]","Quand le personnage effectue une attaque à distance à l’aide d’une arme de jet (hache, lance, javeline, etc.), il peut ajouter au jet d’attaque son bonus de Force à la place de son bonus de Dextérité.","Un personnage qui attaque à l’aide d’une arme à distance ajoute habituellement son bonus de Dextérité au jet d’attaque.","https://gemmaline.com/dons/dons-lanceur-de-haches-209.htm"
"Lanceur de sort versatil","[Général]","Le personnage sait utiliser ses emplacemetns de sorts inférieurs pourlancer des sorts plus puissants","Races of Dragon","[[Aptitude de lancer des sorts sans les préparer]]","Le personnage peut dépenser deux emplacements de sorts d'un niveau pour lancer un sort comme s'il avait utiliser un emplacement de sorts d'un niveau supérieur de 1.
Par exemple, un ensorceleur avec ce don peut utiliser deux emplacements de sort de niveau 2 pour lancer un sort qu'il connait de niveau 3.","","https://gemmaline.com/dons/dons-lanceur-de-sort-versatil-1172.htm"
"Lanceur de sorts de guerre","[Général]","Le personnage n'est pas soumis au risque d'échec des sorts profanes quand il porte une armure plus lourde que la normale.","Codex Profane","[[Faculté d’ignorer le risque d’échec des sorts profanes dus aux armures]]","Le personnage est capable de porter une armure d'une catégorie plus lourde tout en évitant le risque d'échec des sorts profanes. Par exemple, s'il a le droit de porter une armure légère sans encourir de risque d'échec des sons profanes, il peut désormais porter une armure intermédiaire et jeter ses sorts normalement. Ce pouvoir ne concerne pas les bouchers et ne s'applique pas aux sorts acquis par le biais d'une classe autre que celle qui permet de jeter des sorts de magie profane tout en portant une armure.","","https://gemmaline.com/dons/dons-lanceur-de-sorts-de-guerre-1716.htm"
"Lanceur de sorts polyvalent","[Général]","En même temps que ce don, le personnage doit choisir une de ses classes de lanceur de sorts. La puissance des sorts de cette classe augmente alors, compensant en partie un éventuel multiclassage.","Codex ProfaneCodex Divin","[[Degré de maîtrise de 4 en Art de la magie]]","Le personnage bénéficie d'un bonus de +4 au niveau de lanceur de sorts pour l'une de ses classes, sans que ce niveau puisse dépasser ses dés de vie. Cependant, si le personnage ne peut bénéficier de l'intégralité de ce bonus sur-le-champ, il en viendra peut-être à gagner des dés de vie par la suite qui lui permettront d'en jouir totalement.
Par exemple, un ensorceleur 5/prêtre 3 humain qui choisit ce don augmentera son niveau de lanceur de sorts d'ensorceleur de 5 à 8 (puisqu'il a 8 DV). S'il gagne par la suite un niveau de guerrier, il bénéficiera de l'intégralité du bonus et aura donc un niveau de lanceur de sorts d'ensorceleur égal à 9 (puisqu'il aura désormais 9 DV).
Un personnage pourvu de plusieurs classes de lanceur de sorts (comme un barde/ensorceleur ou un rôdeur/druide) doit choisir la classe à laquelle s'applique ce bonus.
Ce don n'affecte pas le quota de sorts quotidiens et le nombre de sorts connus. Il augmente simplement le niveau de lanceur de sorts, ce qui permet de vaincre plus aisément la résistance à la magie d'un adversaire et modifie les variables numériques dépendant du niveau (durée, etc.).","","https://gemmaline.com/dons/dons-lanceur-de-sorts-polyvalent-310.htm"
"Lanceur nocturne","[Général]","Les pouvoirs du personnage sont renforcés par les ténèbres de la nuit.","Recueil de Magie","[[Faculté de lancer des mystères ou des sorts appartenant au registre de l’obscurité.]]","Lorsqu'il prend ce don, le personnage doit choisir une voie ou une école de magie à laquelle il a accès. La nuit, le DD de sauvegarde des mystères et sorts de la voie ou de l'école choisie bénéficie d'un bonus de +1. Ce bonus se cumule avec les autres, comme celui de Voie de prédilection ou École renforcée.
La lumière ambiante n'est pas importante, ni le fait que le personnage puisse voir le ciel. Seul compte le moment de la journée.
","","https://gemmaline.com/dons/dons-lanceur-nocturne-922.htm"
"Langue Diabolique","[Sceau diabolique]","Le personnage gagne le talent inné d’un diable pour la roublardise et la tromperie. Ses mots sont un labyrinthe verbal qui assombrit les pensées de ses ennemi.  La marque physique de l’utilisation de ce don est une langue fourchue comme celle d’un serpent.","Fiendish Codex II :  Tyrants of Nine Hells","[[Cha 15], [Faveur du Diable]]","Le personnage est capable de charmer son ennemi et l’amener à croire qu’il est son ami, et ce au prix d'une action simple et dans une portée de 18 mètres La cible doit être capable d'entendre et de comprendre le personnage.  La cible doit faire un jet de volonté (DD10 + ½ DV + Mod.  Cha.) ou être étourdi pendant 1 round.  De plus, la cible est considérée comme prise au dépourvu.
Ce don peut-être utilisé un nombre de fois par jour égal au nombre de don de type Sceau Diabolique (celui-ci inclus) que le personnage possède. On peutchoisir de dépenser deux fois ce don en un seul coup, pour l'utiliser au prix d'une action immédiate plutôt qu’une action simple.
Ceci est une capacité surnaturel considéré de registre langage et mental.","","https://gemmaline.com/dons/dons-langue-diabolique-884.htm"
"Langue fourchue","[Monstrueux]","Le personnage parle d'une voix mielleuse qui a tendance à subjuguer son auditoire.","Royaumes Serpents","[[Homme-serpent]]","Grâce à la nature ensorcelante de sa voix, le personnage bénéficie d'un bonus de +2 aux tests de Bluff. En outre, le DD de sauvegarde de ses sorts, pouvoirs magiques et pouvoirs surnaturels reproduisant un effet de charme via la parole augmente de +1.","","https://gemmaline.com/dons/dons-langue-fourchue-1519.htm"
"Leader né","[Général, Prestige]","Le personnage excelle dans le rôle de leader.","Dragon Magazine #346","[[Cha 15], [Prestige], [Niveau global de 6]]","Le personnage gagne un bonus permanent de +2 à sa valeur de prestige.","","https://gemmaline.com/dons/dons-leader-ne-1323.htm"
"Leçons de la nature","[Général]","La connaissance de la nature du personnage lui permet de porter des attaque dévastatrices aux créatures de type plante","Manuel du Joueur de Gemmaline","[[Degré de maîtrise de 5 en Connaissances (nature)], [Aptitude de classe de Attaque sournoise]]","Le personnage est capable de porter des attaques sournoises aux créatures de type plante.","Les créatures de type plante sont immunisés aux attaque sournoises.","https://gemmaline.com/dons/dons-lecons-de-la-nature-2053.htm"
"Leg du dragon bleu","[Draconique]","Le personnage est capable de meilleure capacité profane grâce à son héritage draconique","Races of Dragon","[[Trois autre dons de Draconique au choix], [Héritage draconique (bleu)]]","Le personnage ajoute les sorts suivant à sa liste de sorts connus  :","","https://gemmaline.com/dons/dons-leg-du-dragon-bleu-2158.htm"
"Leg du dragon d’or","[Draconique]","Le personnage est capable de meilleure capacité profane grâce à son héritage draconique","Races of Dragon","[[Trois autre dons de Draconique au choix], [Héritage draconique (or)]]","Le personnage ajoute les sorts suivant à sa liste de sorts connus :","","https://gemmaline.com/dons/dons-leg-du-dragon-d-or-2156.htm"
"Leg du dragon de guerre","[Draconique]","Le personnage est capable de meilleure capacité profane grâce à son héritage draconique","Races of Dragon","[[Trois autre dons de Draconique au choix], [Héritage draconique (guerre)]]","Le personnage ajoute les sorts suivant à sa liste de sorts connus :","","https://gemmaline.com/dons/dons-leg-du-dragon-de-guerre-2193.htm"
"Leg du dragon de sable","[Draconique]","Le personnage est capable de meilleure capacité profane grâce à son héritage draconique","Races of Dragon","[[Trois autre dons de Draconique au choix], [Héritage draconique (sable)]]","Le personnage ajoute les sorts suivant à sa liste de sorts connus :","","https://gemmaline.com/dons/dons-leg-du-dragon-de-sable-2157.htm"
"Leg du dragon éthéré","[Draconique]","Le personnage est capable de meilleure capacité profane grâce à son héritage draconique","Races of Dragon","[[Trois autre dons de Draconique au choix], [Héritage draconique (éthéré)]]","Le personnage ajoute les sorts suivant à sa liste de sorts connus :","","https://gemmaline.com/dons/dons-leg-du-dragon-ethere-2194.htm"
"Leg du dragon hurleur","[Draconique]","Le personnage est capable de meilleure capacité profane grâce à son héritage draconique","Races of Dragon","[[Trois autre dons de Draconique au choix], [Héritage draconique (hurleur)]]","Le personnage ajoute les sorts suivant à sa liste de sorts connus :","","https://gemmaline.com/dons/dons-leg-du-dragon-hurleur-2196.htm"
"Leg du dragon rouge","[Draconique]","Le personnage est capable de meilleure capacité profane grâce à son héritage draconique","Races of Dragon","[[Trois autre dons de Draconique au choix], [Héritage draconique (rouge)]]","Le personnage ajoute les sorts suivant à sa liste de sorts connus :","","https://gemmaline.com/dons/dons-leg-du-dragon-rouge-2195.htm"
"Légende des ennemis","[Général, Multiclassage]","Le personnage connait les mythes et légendes de ses ennemis, augmentant ainsi ses connaissances sur eux.","Manuel du Joueur de Gemmaline","[[Aptitude de classe de Ennemi juré], [Aptitude de classe de Savoir bardique]]","Le personnage ajoute ses niveaux de rôdeurs à ses niveaux de barde lorsqu'il réalise un test de savoir bardique. Ainsi, un barde 6/rôdeur 6 est considéré comme un barde de niveau 12 pour ce test.
De plus, le personnage ajoute ses niveaux de barde à ses niveaux de rôdeur pour déterminer le nombre d'ennemis jurés qu'il possède ainsi que les bonus contre ces ennemis jurés. Ainsi, un barde 6/rôdeur 6 est considéré comme un barde de niveau 12 pour ses ennemis juré, et en possède donc 3, avec des bonus de +4/+4/+2 ou +6/+2+2 (suivant comment il a réparti ses bonusà.","","https://gemmaline.com/dons/dons-legende-des-ennemis-1570.htm"
"Legs illithid","[Héritage illithid, Psionique]","Grâce à son héritage illithid, les pouvoirs psioniques du personnage s'améliore.","Complete Psionic","[[Un autre don de Héritage illithid au choix], [Héritage illithid], [Niveau 3 de manifestation]]","Le personnage connaît davantage de facultés en raison de son héritage illithid. Il ajoute charme psionique et lecture des pensées à sa liste de facultés connues.","","https://gemmaline.com/dons/dons-legs-illithid-897.htm"
"Legs illithid supérieur","[Héritage illithid, Psionique]","La connaissance des pouvoirs psionique du personnage a augmenté grâce à son héritage psionique.","Complete Psionic","[[Un autre don de Héritage illithid au choix], [Legs illithid], [Héritage illithid], [Niveau 7 de manifestation]]","Le personnage connaît davantage de facultés en raison de son héritage illithid. Il ajoute dissipation psionique et domination psioniques à votre liste de facultés connues.","","https://gemmaline.com/dons/dons-legs-illithid-superieur-898.htm"
"Leurre psionique","[Général]","Le personnage a appris à leurrer aussi les objets psioniques","Codex Heroïque","[[Degré de maîtrise de 2 en Art psi], [Aptitude de classe de Objet leurré]]","Le personnage peut faire 10, même s'il est distrait ou menacé sur ses tests d'Utilisation d'objets psioniques. De plus, Utilisation d'objets psioniques est considéré comme une compétence de classe pour sa classe de sorcier.","","https://gemmaline.com/dons/dons-leurre-psionique-1696.htm"
"Levée des ténèbres","[Divin]","Le personnage peut canaliser 1 énergie pour augmenter la portée de sa vision dans le noir.","Races de la Pierre","[[Vision dans le noir], [Aptitude de classe de Renvoi des morts-vivants]]","Par une action simple, le personnage peut dépenser une tentative de renvoi des morts-vivants pour doubler la portée de sa vision dans le noir pendant un nombre de minutes égal à son niveau global.","","https://gemmaline.com/dons/dons-levee-des-tenebres-655.htm"
"Lexique acharné","[Général, Verbe]","Les locutions du personnage sont plus efficaces contre un certain type de créatures.","Book of WordsRecueil de Magie","[[Degré de maîtrise de 6 en Prime idiome], [Faculté de prononcer des locutions]]","En prenant ce don, le personnage l'associe à un type de créature (comme les aberrations ou les humanoïdes monstrueux). Le DD de sauvegarde de ses locutions augmente de 1 quand il les emploie contre des créatures du type choisi.","","https://gemmaline.com/dons/dons-lexique-acharne-1821.htm"
"Lexique augmenté","[Inflexion]","Les locutions du personnage sont plus puissantes que la moyenne.","Book of WordsRecueil de Magie","[[Degré de maîtrise de 6 en Prime idiome], [Faculté de prononcer des locutions]]","Tous les effets numériques et aléatoires d'une locution augmentée  augmentent de 50 %. Les jets de sauvegarde et les jets opposés ne sont pas affectés, pas plus que les locutions sans variable numérique et aléatoire.
Le DD du test de Prime idiome d'une locution augmentée augmente de +4.
","","https://gemmaline.com/dons/dons-lexique-augmente-1822.htm"
"Lien animal du planaire","[Racial]","Le personnage présente des affinités particulières avec un type d'animal associé avec son ancêtre divin.","Races de Faerun","[[Aasimar, Genasi de terre, Tieffelin]]","Après avoir choisi un ancêtre divin dans la liste ci-dessous, le personnage reçoit un bonus de +4 à ses tests de Dressage et d'Empathie sauvage dès lors qu'il a affaire à des animaux associés avec cet ancêtre. S'il ne possède pas l'aptitude de classe d'Empathie sauvage, il peut l'utiliser tout de même pour influencer ces animaux, avec un niveau de druide effectif de 0. De plus, il peut influencer les animaux célestes (s'il s'agit d'un aasimar) ou fiélons (dans le cas d'un tieffelin) associés à son ancêtre comme s'ils étaient de simples animaux.
Référez-vous à la table ci-dessous pour un récapitulatif des divinités mulhorandi et de leurs animaux favoris.","","https://gemmaline.com/dons/dons-lien-animal-du-planaire-789.htm"
"Lien corrompu de l’arme","[Souillure]","Le personnage est capable de créer un lien avec son arme pour lui transmettre une partie de sa souillure","Codex Maléfique","[[Sag 15], [Souillure modérée], [Coup débilitant], [Afflux de malveillance], [Aptitude de classe de Lien mystique de l’arme]]","Lorsque le personnage porte un Coup débilitant avec une arme avec laquelle il a forgé un lien mystique. En plus des effets normaux, le coup débilitant inflige 1 point de dépravation (si le coup débilitant cause un affaiblissement de Constitution) ou de perversion (s'il cause un affaiblissement de Sagesse)","","https://gemmaline.com/dons/dons-lien-corrompu-de-l-arme-2208.htm"
"Lien mystique du corps","[Général]","Le personnage a atteint un degré de connaissance des son corps tel qu'il ne fait plus qu'un avec son esprit.","Manuel du Joueur de Gemmaline","[[Sag 15], [Science du combat à mains nues], [Aptitude de classe de Lien mystique de l’arme]]","Le personnage peut utiliser son aptitude de Lien mystique de l'arme avec ses attaques à mains nues.
De plus, le personnage peut librement se multiclasser entre les classes de guerrier mystiques et moine.","Un guerrier mystique ne peut se lier qu'à des armes manufacturées.","https://gemmaline.com/dons/dons-lien-mystique-du-corps-2116.htm"
"Lien naturel","[Général]","Le lien qui unit le personnage et son compagnon animal est particulièrement profond.","Codex Aventureux","[[Aptitude de classe de Compagnon animal]]","Le niveau de druide effectif du personnage est augmenté de 3 points dans le cadre de la détermination des dés de vie supplémentaires, des tours supplémentaires, des pouvoirs spéciaux et des autres bonus conférés à son compagnon animal Ce bonus ne peut en aucun cas engendrer un niveau de druide effectif supérieur au niveau global du personnage.Si le personnage dispose de plusieurs compagnons animaux, cet avantage ne s’applique qu’à l’un d’entre eux.","","https://gemmaline.com/dons/dons-lien-naturel-367.htm"
"Lien protecteur","[Général]","L'équipement auquel s'est lié le personnage est résistant à bien plus que de simples coups.","Codex Heroïque","[[Sag 13], [Aptitude de classe de Solidité du lien]]","Les équipements auxquels le personnage est lié par ses compétences de classe de Guerrier mystique reçoit un bonus de résistance aux jets de sauvegarde égal au bonus de Sagesse du personnage et leur solidité augmente de 1 point supplémentaire.","","https://gemmaline.com/dons/dons-lien-protecteur-2214.htm"
"Lien vital","[Monstrueux]","Le monstre choisit une créature vivante amicale avec laquelle il noue un lien spécial.","Libris Mortis","[[Type Mort-vivant], [Cha 11]]","Quand la créature choisie se trouve dans un rayon de 18 mètres, le monstre bénéficie d’un bonus de +4 en résistance au renvoi des morts-vivants et d’un bonus de +2 aux jets de sauvegarde.Si la créature choisie meurt, le monstre perd le bénéficie de ces bonus et subit un malus de -2 aux sauvegardes pendant 24 heures.Si le monstre remplace la créature choisie par une autre créature vivante, le lien peut être transféré.","","https://gemmaline.com/dons/dons-lien-vital-142.htm"
"Ligne d’ombre","[Méta-ombre]","Le personnage peut lancer des mystères sans avoir une ligne de vue ou une ligne d'effet dégagée vers la cible.","Recueil de Magie","[[Deux don de Méta-ombre au choix]]","Une fois par jour, le personnage peut lancer un mystère sur une cible vers laquelle il ne dispose ni d'une ligne de vue, ni une ligne d'effet. La cible doit tout de même se trouver dans les limite de porte du mystère. La ligne d'ombre ne peut cibler que les créatures ou objets que le personnage a eus récemment dans sa ligne de vue ou sa ligne d'effet, jusqu'à un nombre de rounds égal à son modificateur d'Intelligence (minimum 1). La cible obtient un bonus sur son (éventuelle) sauvegarde égal au nombre de rounds écoulés depuis qu'elle est sortie de la ligne de vue ou d'effet du personnage. On ne peut appliquer ce don à un mystère dont la portée est le contact ou le contact à distance.
Lancer un mystère avec ligne d'ombre est une action complexe.
","Le personnage doit disposer d'une ligne d'effet ou d'une ligne de vue vers une créature ou un objet pour la cibler avec un sort ou un mystère.
","https://gemmaline.com/dons/dons-ligne-d-ombre-929.htm"
"Lignée céleste","[Racial]","Certains des pouvoirs célestes latents du personnage se sont affirmés.","Races de Faerun","[[Aasimar, Céladarin], [Bonus de base de Volonté de +1], [Bonus de base de Vigueur de +1], [Bonus de base de Réflexes de +1]]","Le personnage peut recourir au pouvoir de protection contre le Mal jusqu'à trois fois par jour ainsi qu'à celui de bénédiction une fois par jour. Il s'agit de pouvoirs magiques lancés avec un niveau de lanceur de sorts égal au niveau global du personnage.","","https://gemmaline.com/dons/dons-lignee-celeste-747.htm"
"Lignée de feu","[Régional]","Le personnage descend des éfrits qui régnèrent sur le Calimshan pendant si longtemps. Le sang de ces esprits du Feu coule donc dans ses veines.","Manuel des Joueurs de Faerûn","[[Genasi d'air[Calimshan], Genasi de feu[Calimshan], Humain[Calimshan]]]","Le personnage bénéficie d’un bonus de +4 aux jets de sauvegarde contre les effets de feu. En outre, il lance les sorts affichant le registre du Feu avec un bonus de +2 au niveau de lanceur de sorts.","","https://gemmaline.com/dons/dons-lignee-de-feu-210.htm"
"Lignée du dragon blanc","[Draconique]","Dans les veines du personnage, coule le sang des dragons blanc et de leur rage","Dragon Magic","[[Ensorceleur de niveau 3], [Héritage draconique (blanc)]]","Le personnage est capable d'entrée dans une forme de rage au prix d'une action rapide en sacrifiant un emplacement de sort. Il gagne alors un nombre de points de vie temporaire et une résistance au froid égal à 5 c le niveau de sort sacrifié. Contrairement à la rage d'un barbare, le personnage peut toujours lancer des sorts durant cette rage, mais il ne peut pas l'activer une seconde fois.
Cet effet dure pendant un nombre de round égal à 1 + bonus de Charisme du personnage.","","https://gemmaline.com/dons/dons-lignee-du-dragon-blanc-1996.htm"
"Lignée du dragon bleu","[Draconique]","Le personnage a approfondi son héritage et peut l'utiliser pour générer des boules de foudre","Dragon Magic","[[Ensorceleur de niveau 3], [Héritage draconique (bleu)]]","Au prix d'une action simple, le personnage peut convertir un emplacement de sort en un nombre de boules de foudre égal au niveau du sort sacrifié, lesquelles volent directement vers la cible désignée. Chaque orbe à une portée de 9 mètres et nécessite un jet d'attaque de contact à distance. Sur un coup au but, chaque orbe inflige 1d6 + modificateur de Charisme dégâts de foudre. Le personnage put diriger n'importe quel nombre d'orbes sur n'importe quel nombre de cibles.","","https://gemmaline.com/dons/dons-lignee-du-dragon-bleu-1986.htm"
"Lignée du dragon d’airain","[Draconique]","Le personnage a débloqué un pouvoir hérité de ses ancêtres draconiques : celui de pouvoir endormir autrui","Dragon Magic","[[Ensorceleur de niveau 3], [Héritage draconique (airain)]]","Au prix d'un round entier, le personnage peut sacrifier un emplacement de sort profane pour endormir une cible à 9 mètres ou moins pour 1 round. La cible a le droit à un jet de Volonté (DD 10 + niveau du sort + modificateur de Charisme du personnage) pour annuler l'effet. Si le nombre de DV de la créature égal dépasse le triple du niveau du sort sacrifié, l'effet échoue automatiquement.","","https://gemmaline.com/dons/dons-lignee-du-dragon-d-airain-1987.htm"
"Lignée du dragon d’argent","[Draconique]","Descendant des dragons d'argent, le personnage peut canaliser leur pouvoir de paralysie.","Dragon Magic","[[Ensorceleur de niveau 3], [Héritage draconique (argent)]]","Au prix d'une action simple, le personnage peut convertir un emplacement de sort profane en une explosion paralysante. Toute créature adjacente au personnage doit réussir un jet de Vigueur (DD 10 + niveau du sort sacrifié + modificateur de Charisme) ou être paralysé pour 1 round.","","https://gemmaline.com/dons/dons-lignee-du-dragon-d-argent-1997.htm"
"Lignée du dragon d’or","[Draconique]","Le personnage peut utiliser son héritage draconique pour protéger les autres.","Dragon Magic","[[Ensorceleur de niveau 3], [Héritage draconique (or)]]","Au prix d'une action rapide, le personnage peut sacrifier un emplacement de sort pour créer une aura de chance qui protège ses alliés. Chaque allié dans un rayon de 9 mètres (y compris le personnage) reçoit un bonus de chance égal au niveau du sort sacrifié qu'ils peuvent choisir d'appliquer à un jet de sauvegarde de leur choix. Ce bonus doit être utilisé avant un nombre de round égal au bonus de Charisme (minimum 1) du personnage, sinon il est perdu. Un allié affecté n'a pas besoin de rester à portée de l'effet pour conserver le bonus de chance.
Une créature ne peut bénéficier que d'un seul bonus conféré par ce don à la fois. S'il en reçoit un second, il doit choisir lequel des deux il garde.","","https://gemmaline.com/dons/dons-lignee-du-dragon-d-or-1995.htm"
"Lignée du dragon de bronze","[Draconique]","le personnage peut canaliser les pouvoirs de son sang de dragon de bronze pour repousser ses adversaires.","Dragon Magic","[[Ensorceleur de niveau 3], [Héritage draconique (bronze)]]","Au prix d'une action rapide, le personnage peut sacrifier un emplacement de sort profane pour repousser les ennemis. Tout adversaire à 9 mètres ou moins du personnage doit commencer son prochain tour en se déplaçant au moins d'une case. La direction n'importe pas tant que cela éloigne l'ennemi du personnage. A moins qu'il s'agisse d'un pas de placement, ce déplacement provoque des attaques d'opportunité normalement. Un jet de Volonté (DD 10 + niveau du sort sacrifié + mod. Cha) annule cet effet.
Il s'agit d'un effet d'enchantement (coercition) mental.","","https://gemmaline.com/dons/dons-lignee-du-dragon-de-bronze-2163.htm"
"Lignée du dragon de cuivre","[Draconique]","L personnage peut canaliser le pouvoir de son ancêtre dragon de cuivre pour limiter la mobilité de ses ennemis","Dragon Magic","[[Ensorceleur de niveau 3], [Héritage draconique (cuivre)]]","Au prix d'une action simple, le personnage peut sacrifier un emplacement de sort profane pour une émanation magique de 6 mètres de rayon centré sur lui. Tout ennemi dans la zone doit réussir un jet de Vigueur (DD 10 + niveau du sort sacrifié + mod. Cha) ou être ralenti pour un nombre de rounds égal au niveau du sort sacrifié.","","https://gemmaline.com/dons/dons-lignee-du-dragon-de-cuivre-2164.htm"
"Lignée du dragon noir","[Draconique]","Le personnage est proche de son héritage draconique et peut empoisonner ses ennemis","Dragon Magic","[[Ensorceleur de niveau 3], [Héritage draconique (noir)]]","Au prix d'une action simple, le personnage peut convertir un emplacement de sort profane en un dangereux poison qu'il peut utiliser par une attaque de contact au corps à corps au prix d'une action immédiate. Le poison rend la cible fatiguée comme effet principal et inflige 1d8 dégâts par niveau de sort sacrifié comme effet secondaire. Un jet de Vigueur réussit contre l'effet principal annule la fatigue et un réussi contre l'effet secondaire réduit les dégâts de moitié. Le DD est de 10 + niveau du sort + modificateur de Charisme du personnage","","https://gemmaline.com/dons/dons-lignee-du-dragon-noir-1985.htm"
"Lignée du dragon vert","[Draconique]","Le lien du personnage avec son héritage draconique lui permet de diminuer la volonté de ses ennemis.","Dragon Magic","[[Ensorceleur de niveau 3], [Héritage draconique (vert)]]","Au prix d'une action simple, le personnage peut sacrifier un emplacement de sort pour réduire la Volonté d'un ennemi à 9 mètres ou moins de lui. Le malus au jet de Volonté est égal au niveau du sort sacrifié de cette façon et dure jusqu'à ce que al créature tente un jet de Volonté contre un effet non-inoffensif ou jusqu'à la fin du prochain tour du personnage, suivant ce qui arrive en premier. Une utilisation multiple de ce don sur une même créature ne se cumule pas. Il s'agit d'un effet mental d'enchentement (coercition).","","https://gemmaline.com/dons/dons-lignee-du-dragon-vert-1994.htm"
"Lignée élémentaire","[Racial]","Le personnage présente certains des aspects de l'élément qui imprègne sa chair.","Races de Faerun","[[Arazer, Genasi d'air, Genasi d'eau, Genasi de feu, Genasi de terre, Slyth, Tanarukk], [Bonus de base de Vigueur de +4]]","Le personnage bénéficie d'un bonus de, +4 aux jets de sauvegarde contre le poison, le sommeil, la paralysie et l'étourdissement. Par ailleurs, chaque fois qu'un coup critique ou une attaque sournoise lui sont infligés, il a 25% de chances de les transformer en coup normaux (comme s'il portait une armure de défense légère). S'il porte déjà une armure de défense (ou un objet similaire, ou s'il présente un pouvoir qui produit un effet semblable), il convient de prendre en compte l'avantage qui fournit le pourcentage de chances le plus élevé.","","https://gemmaline.com/dons/dons-lignee-elementaire-748.htm"
"Lignée fiélon","[Racial]","Certains des pouvoirs latents du personnage, qu'il tient d'un ancêtre fiélon particulièrement puissant, se sont affirmés.","Races de Faerun","[[Fey'ri, Tanarukk, Tieffelin], [Bonus de base de Volonté de +1], [Bonus de base de Vigueur de +1], [Bonus de base de Réflexes de +1]]","Le personnage peut recourir au pouvoir de protection contre le Bien jusqu'à trois fois par jour ainsi qu'à celui d'imprécation une fois par jour. Il s'agit de pouvoirs magiques lancés avec un niveau de lanceur de sorts égal au niveau global du personnage.","","https://gemmaline.com/dons/dons-lignee-fielon-749.htm"
